pet_id,issue_date,listing_date,condition,color_type,length(m),X1,X2,breed_category,pet_category,issue_date_dt,listing_date_dt,date_diff,conditionnan,height(m)
ANSL_69903,2016-07-10 00:00:00,2016-09-21 16:25:00,2.0,Brown Tabby,0.8,13,9,0.0,1,2016-07-10,2016-09-21,73,0,0.07780000000000001
ANSL_66892,2013-11-21 00:00:00,2018-12-27 17:47:00,1.0,White,0.72,13,9,0.0,2,2013-11-21,2018-12-27,1862,0,0.1419
ANSL_69750,2014-09-28 00:00:00,2016-10-19 08:24:00,3.0,Brown,0.15,15,4,2.0,4,2014-09-28,2016-10-19,752,1,0.409
ANSL_71623,2016-12-31 00:00:00,2019-01-25 18:30:00,1.0,White,0.62,0,1,0.0,2,2016-12-31,2019-01-25,755,0,0.1782
ANSL_57969,2017-09-28 00:00:00,2017-11-19 09:38:00,2.0,Black,0.5,18,4,0.0,1,2017-09-28,2017-11-19,52,0,0.1106
ANSL_52200,2017-10-25 00:00:00,2019-03-10 13:18:00,0.0,Red,0.92,0,7,1.0,2,2017-10-25,2019-03-10,501,0,0.2956
ANSL_75444,2018-11-06 00:00:00,2019-04-09 16:00:00,2.0,Brown Tabby,0.14,0,1,0.0,1,2018-11-06,2019-04-09,154,0,0.40240000000000004
ANSL_52759,2018-06-05 00:00:00,2018-09-02 17:04:00,0.0,White,0.15,7,1,1.0,1,2018-06-05,2018-09-02,89,0,0.2548
ANSL_74632,2015-10-10 00:00:00,2016-08-04 16:29:00,2.0,Brown,0.05,13,9,1.0,2,2015-10-10,2016-08-04,299,0,0.3822
ANSL_56464,2014-02-18 00:00:00,2017-03-17 11:38:00,2.0,Brown,0.55,13,9,1.0,2,2014-02-18,2017-03-17,1123,0,0.2126
ANSL_69485,2004-11-17 00:00:00,2016-12-15 13:33:00,0.0,Tricolor,0.3,0,1,1.0,2,2004-11-17,2016-12-15,4411,0,0.2306
ANSL_51014,2017-06-17 00:00:00,2018-02-08 09:00:00,2.0,Brown Tabby,0.44,16,9,1.0,1,2017-06-17,2018-02-08,236,0,0.4032
ANSL_76771,2017-02-07 00:00:00,2019-05-10 16:42:00,1.0,Black,0.2,13,9,0.0,2,2017-02-07,2019-05-10,822,0,0.3078
ANSL_69252,2016-11-29 00:00:00,2017-05-31 00:00:00,1.0,White,0.45,13,9,0.0,2,2016-11-29,2017-05-31,183,0,0.053899999999999997
ANSL_58085,2018-01-29 00:00:00,2018-05-02 17:46:00,0.0,Calico,0.48,0,1,1.0,1,2018-01-29,2018-05-02,93,0,0.3054
ANSL_63686,2016-07-20 00:00:00,2016-10-10 12:14:00,1.0,Black,0.18,13,9,0.0,1,2016-07-20,2016-10-10,82,0,0.4905
ANSL_66127,2016-03-20 00:00:00,2016-11-03 13:55:00,1.0,Red,0.88,7,1,0.0,2,2016-03-20,2016-11-03,228,0,0.495
ANSL_52366,2009-01-06 00:00:00,2019-01-27 11:56:00,1.0,Black,0.93,0,7,0.0,2,2009-01-06,2019-01-27,3673,0,0.1483
ANSL_55607,2013-11-28 00:00:00,2017-12-28 00:00:00,2.0,Brown Brindle,0.76,13,9,1.0,2,2013-11-28,2017-12-28,1491,0,0.3899
ANSL_72451,2018-08-23 00:00:00,2018-11-29 11:46:00,0.0,Black,0.96,0,1,1.0,1,2018-08-23,2018-11-29,98,0,0.2433
